manual_resolution	{"at": "2026-09-11 08:15:40.835000", "run": "958ed66c-b9ef-48e2-a645-3f3e6226a71a", "actor": "brain-cli", "order": "PJV1-9TN0gGX-I5rRdhXxLrq7", "hasNote": true, "resultCode": "MANUAL_VERIFICATION_NOT_CHARGED", "verifiedOutcome": "NOT_CHARGED"}
manual_resolution	{"at": "2026-09-11 10:49:18.383000", "run": "f1b7999c-0915-4762-ab5e-a84543416f07", "actor": "brain-cli", "order": "PJV1-CkFQM-aahxjZdJZX8vkY", "hasNote": true, "resultCode": "MANUAL_VERIFICATION_NOT_CHARGED", "verifiedOutcome": "NOT_CHARGED"}
manual_resolution	{"at": "2026-09-12 17:57:16.063000", "run": "8c59ef43-3b84-4db3-8e56-30179fed1b2e", "actor": "admin", "order": "PJV1-G4OZ2IwONAFtL7dUNokp", "hasNote": true, "resultCode": "MANUAL_VERIFICATION_NOT_CHARGED", "verifiedOutcome": "NOT_CHARGED"}
manual_resolution	{"at": "2026-09-13 02:44:21.102000", "run": "cdb88644-bc74-4a73-b025-212310aba723", "actor": "lemon-approved", "order": "PJV1-4U9xwJCCcbx_2qp7EX-1", "hasNote": true, "resultCode": "MANUAL_VERIFICATION_NOT_CHARGED", "verifiedOutcome": "NOT_CHARGED"}
held_ledger	{"card": "4643", "order": "PJV1-u696SEuwCQqyReHZ_FmP", "amount": 16.000000, "consumed": null, "released": null, "reserved": "2026-09-02 02:52:27.938000", "attemptId": "a0d498e3-88f0-4a23-b65a-163381dbf7c8", "inventory": "RETIRED", "evidenceKeys": ["reason", "source"], "ledgerStatus": "RECONCILIATION"}
held_ledger	{"card": "1013", "order": "PJV1-412JIT_yfiuBpZeC39_m", "amount": 16.000000, "consumed": null, "released": null, "reserved": "2026-09-01 06:01:43.640000", "attemptId": "9a20b65c-c469-4af8-ab48-493fc5ae976b", "inventory": "RETIRED", "evidenceKeys": ["reason", "source"], "ledgerStatus": "RECONCILIATION"}
order_event	{"at": "2026-08-19 08:30:38.345000", "to": "CREATED", "from": null, "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": null, "actorType": "CUSTOMER", "metadataKeys": null}
order_event	{"at": "2026-08-19 08:31:44.896000", "to": "CARD_PURCHASING", "from": "CREATED", "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": null, "actorType": "WORKER", "metadataKeys": ["cardTypeId", "existingCardCount"]}
order_event	{"at": "2026-08-19 08:31:50.740000", "to": "CARD_PROVISIONING", "from": "CARD_PURCHASING", "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": null, "actorType": "WORKER", "metadataKeys": ["last4", "providerCardId"]}
order_event	{"at": "2026-08-19 08:32:22.102000", "to": "CARD_READY", "from": "CARD_PROVISIONING", "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": null, "actorType": "WORKER", "metadataKeys": ["last4", "currentBalance"]}
order_event	{"at": "2026-08-19 08:32:22.134000", "to": "CARD_READY", "from": "CARD_READY", "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": null, "actorType": "WORKER", "metadataKeys": ["planType", "cardLast4", "submitted", "requestPath", "requestMethod"]}
order_event	{"at": "2026-08-19 17:37:31.667000", "to": "CLOSED", "from": "CARD_READY", "order": "PJV1-m2wZr2ETzmiI8fTGfAT9", "actorId": "admin", "actorType": "ADMIN", "metadataKeys": ["cardId", "reason", "cardTypeId"]}
order_event	{"at": "2026-08-22 15:57:25.196000", "to": "CREATED", "from": null, "order": "PJV1-4cK-yDhExDQbnpr8403G", "actorId": null, "actorType": "CUSTOMER", "metadataKeys": null}
order_event	{"at": "2026-08-25 03:17:38.339000", "to": "WAITING_FOR_CARD", "from": "CREATED", "order": "PJV1-4cK-yDhExDQbnpr8403G", "actorId": null, "actorType": "WORKER", "metadataKeys": ["cardTypeId", "minimumRequiredBalance"]}
order_event	{"at": "2026-08-28 04:33:32.955000", "to": "CLOSED", "from": "WAITING_FOR_CARD", "order": "PJV1-4cK-yDhExDQbnpr8403G", "actorId": "admin", "actorType": "ADMIN", "metadataKeys": ["reason"]}
order_event	{"at": "2026-08-30 08:44:28.244000", "to": "CREATED", "from": null, "order": "PJV1-TZmbNEpYNd0Gs_YgRKF_", "actorId": null, "actorType": "CUSTOMER", "metadataKeys": null}
order_event	{"at": "2026-08-30 08:47:53.626000", "to": "WAITING_FOR_CARD", "from": "CREATED", "order": "PJV1-TZmbNEpYNd0Gs_YgRKF_", "actorId": null, "actorType": "WORKER", "metadataKeys": ["cardTypeId", "minimumRequiredBalance"]}
order_event	{"at": "2026-08-30 08:48:44.406000", "to": "CLOSED", "from": "WAITING_FOR_CARD", "order": "PJV1-TZmbNEpYNd0Gs_YgRKF_", "actorId": "admin", "actorType": "ADMIN", "metadataKeys": ["reason"]}
order_event	{"at": "2026-08-31 14:04:23.822000", "to": "CREATED", "from": null, "order": "PJV1-HfAEiq8dBpDLXzt4t96e", "actorId": null, "actorType": "CUSTOMER", "metadataKeys": null}
order_event	{"at": "2026-08-31 14:04:24.399000", "to": "CARD_READY", "from": "CREATED", "order": "PJV1-HfAEiq8dBpDLXzt4t96e", "actorId": null, "actorType": "WORKER", "metadataKeys": ["currentBalance", "providerCardId"]}
